id,object,group,description,kind,path
0,(root),,Run Table,"Lua, focus/select, symbol",
17652,Award,,Award >,"Lua, write",Award >
22767,Award,Presets,Change Competition,Lua,Award > > Presets > > Change Competition
22766,Award,Presets,Change Continent,Lua,Award > > Presets > > Change Continent
22765,Award,Presets,Change Nation,Lua,Award > > Presets > > Change Nation
19666,City,,City >,"Lua, write",City >
1000,Club,,Club >,"Lua, write",Club >
18989,Club,Presets,Maximise Existing Tactical Familiarity,Lua,Club > > Presets > > Maximise Existing Tactical Familiarity
18981,Club,Presets,Maximise Existing Training Happiness,Lua,Club > > Presets > > Maximise Existing Training Happiness
18052,Club,Presets,Improve Team Cohesion,Lua,Club > > Presets > > Improve Team Cohesion
23747,Club,Presets,Improve Team Condition,Lua,Club > > Presets > > Improve Team Condition
17835,Club,Presets,Destroy Team,Lua,Club > > Presets > > Destroy Team
23650,Club,Presets,Remove All Bans,Lua,Club > > Presets > > Remove All Bans
17772,Club,Presets,Remove All Injuries,Lua,Club > > Presets > > Remove All Injuries
18916,Club,Presets,Remove All Unhappiness,Lua,Club > > Presets > > Remove All Unhappiness
20572,Club,Presets,Register All Players for X Competition,Lua,Club > > Presets > > Register All Players for X Competition
20573,Club,Presets,Register All Players for Domestic Division,Lua,Club > > Presets > > Register All Players for Domestic Division
20208,Club,Presets,Register All Players for UEFA,Lua,Club > > Presets > > Register All Players for UEFA
17981,Club,Presets,Match Player CA / PA,Lua,Club > > Presets > > Match Player CA / PA
20207,Club,Presets,Randomize Professionalism (Restore Hacked Professionalism),Lua,Club > > Presets > > Randomize Professionalism (Restore Hacked Professionalism)
18993,Club,Presets,Cancel Team Transfer,Lua,Club > > Presets > > Cancel Team Transfer
23820,Club,Presets,Complete Ongoing Board Requests,Lua,Club > > Presets > > Complete Ongoing Board Requests
18990,Club,Presets,Boost Bank Balance,Lua,Club > > Presets > > Boost Bank Balance
20203,Club,Presets,Boost Bank Balance by 50%,Lua,Club > > Presets > > Boost Bank Balance by 50%
12859,Club,Presets,Boost Bank Balance by 75%,Lua,Club > > Presets > > Boost Bank Balance by 75%
12789,Club,Presets,Clear Financial Expenditures,Lua,Club > > Presets > > Clear Financial Expenditures
23746,Club,Presets,Remove Debts & Loans,Lua,Club > > Presets > > Remove Debts & Loans
12858,Club,Presets,Average Attendance X% of Stadium Capacity,Lua,Club > > Presets > > Average Attendance X% of Stadium Capacity
19967,Club,Presets,Average Attendance 50% of Stadium Capacity,Lua,Club > > Presets > > Average Attendance 50% of Stadium Capacity
19968,Club,Presets,Average Attendance 75% of Stadium Capacity,Lua,Club > > Presets > > Average Attendance 75% of Stadium Capacity
23821,Club,Presets,Change Stadium,Lua,Club > > Presets > > Change Stadium
23822,Club,Presets,Change Training Ground,Lua,Club > > Presets > > Change Training Ground
18019,Club,Presets,Make This Club As Stadium Owner,Lua,Club > > Presets > > Make This Club As Stadium Owner
24078,Club,Presets,Maximize All Staff Scouting Knowledge Level,Lua,Club > > Presets > > Maximize All Staff Scouting Knowledge Level
18910,Club,Presets,Adjust All Players Salary to Nation's Weekly Wage Values by CA,Lua,Club > > Presets > > Player Contract > > Adjust All Players Salary to Nation's Weekly Wage Values by CA
18911,Club,Presets,Adjust All Players Salary to Nation's Weekly Wage Values by Reputation,Lua,Club > > Presets > > Player Contract > > Adjust All Players Salary to Nation's Weekly Wage Values by Reputation
18904,Club,Presets,Cut All Players Salary by X%,Lua,Club > > Presets > > Player Contract > > Cut All Players Salary by X%
18900,Club,Presets,Cut All Players Salary by 50%,Lua,Club > > Presets > > Player Contract > > Cut All Players Salary by 50%
18903,Club,Presets,Cut All Players Salary by 75%,Lua,Club > > Presets > > Player Contract > > Cut All Players Salary by 75%
23900,Club,Presets,Remove Bonus or Clause,Lua,Club > > Presets > > Player Contract > > Remove Bonus or Clause
23901,Club,Presets,Remove All Release Clauses,Lua,Club > > Presets > > Player Contract > > Remove All Release Clauses
23902,Club,Presets,Remove Exploring Options Clause,Lua,Club > > Presets > > Player Contract > > Remove Exploring Options Clause
23903,Club,Presets,Remove Match Highest Earner Clause,Lua,Club > > Presets > > Player Contract > > Remove Match Highest Earner Clause
18070,Club,Presets,Extend All Players Contract Length by X Years,Lua,Club > > Presets > > Player Contract > > Extend All Players Contract Length by X Years
18068,Club,Presets,Extend All Players Contract Length by 5 Years,Lua,Club > > Presets > > Player Contract > > Extend All Players Contract Length by 5 Years
18069,Club,Presets,Extend All Players Contract Length by 50 Years,Lua,Club > > Presets > > Player Contract > > Extend All Players Contract Length by 50 Years
20204,Club,Presets,Lifetime Contract All Players,Lua,Club > > Presets > > Player Contract > > Lifetime Contract All Players
18912,Club,Presets,Adjust All Staff Salary to Nation's Weekly Wage Values by CA,Lua,Club > > Presets > > Staff Contract > > Adjust All Staff Salary to Nation's Weekly Wage Values by CA
18913,Club,Presets,Adjust All Staff Salary to Nation's Weekly Wage Values by Reputation,Lua,Club > > Presets > > Staff Contract > > Adjust All Staff Salary to Nation's Weekly Wage Values by Reputation
18905,Club,Presets,Cut All Staff Salary by X%,Lua,Club > > Presets > > Staff Contract > > Cut All Staff Salary by X%
18902,Club,Presets,Cut All Staff Salary by 50%,Lua,Club > > Presets > > Staff Contract > > Cut All Staff Salary by 50%
18901,Club,Presets,Cut All Staff Salary by 75%,Lua,Club > > Presets > > Staff Contract > > Cut All Staff Salary by 75%
18071,Club,Presets,Extend All Staff Contract Length by X Years,Lua,Club > > Presets > > Staff Contract > > Extend All Staff Contract Length by X Years
18066,Club,Presets,Extend All Staff Contract Length by 5 Years,Lua,Club > > Presets > > Staff Contract > > Extend All Staff Contract Length by 5 Years
18067,Club,Presets,Extend All Staff Contract Length by 50 Years,Lua,Club > > Presets > > Staff Contract > > Extend All Staff Contract Length by 50 Years
20205,Club,Presets,Lifetime Contract All Staff,Lua,Club > > Presets > > Staff Contract > > Lifetime Contract All Staff
19857,Club,Presets,Add to Freezer,"Lua, freeze",Club > > Presets > > Add to Freezer
13016,Club,Presets,Open in Dissect Data,Lua,Club > > Presets > > Open in Dissect Data
12910,Club,Finances,Sponsors >,Lua,Club > > Finances > > Sponsors >
22846,Club,Finances,Add Club Sponsor,Lua,Club > > Finances > > Sponsors > > Add Club Sponsor
23744,Club,Finances,Debts & Loans >,Lua,Club > > Finances > > Debts & Loans >
23773,Club,Club Culture ->,Board Requests >,Lua,Club > > Club Culture -> > Board Requests >
24003,Club,Club Culture ->,Objectives >,Lua,Club > > Club Culture -> > Objectives >
24000,Club,Club Culture ->,Relationships >,Lua,Club > > Club Culture -> > Relationships >
23815,Club,Club Culture ->,Training Camp >,Lua,Club > > Club Culture -> > Training Camp >
13042,Club,Staff,Board Members >,Lua,Club > > Staff > > Board Members >
1011,Club,Staff,Medical Team >,Lua,Club > > Staff > > Medical Team >
1012,Club,Staff,Coaching Team >,Lua,Club > > Staff > > Coaching Team >
1013,Club,Staff,Recruitment Team >,Lua,Club > > Staff > > Recruitment Team >
1010,Club,Teams,Teams >,Lua,Club > > Teams >
12885,Club,Affiliations,Affiliations >,Lua,Club > > Affiliations >
23130,Club,Affiliations,Add Club Affiliation,"Lua, symbol",Club > > Affiliations > > Add Club Affiliation
13041,Club,Responsibilities,Responsibilities >,Lua,Club > > Responsibilities >
4000,Competition,,Competition >,"Lua, write",Competition >
13027,Competition,Presets,Open in Dissect Data,Lua,Competition > > Presets > > Open in Dissect Data
18064,Competition,League Table,League Table >,Lua,Competition > > League Table >
12681,Competition,Prize Money,Prize Money >,Lua,Competition > > Prize Money >
19860,Continent,,Continent >,"Lua, write",Continent >
20698,Continent,Fixture Rules,Fixture Rules >,Lua,Continent > > Fixture Rules >
20641,Derby,,Derby >,"Lua, write",Derby >
20646,Derby,Presets,Change Name,Lua,Derby > > Presets > > Change Name
20650,Derby,Presets,Change Team 1,Lua,Derby > > Presets > > Change Team 1
20649,Derby,Presets,Change Team 2,Lua,Derby > > Presets > > Change Team 2
20652,Derby,Presets,Change First Match Competition,Lua,Derby > > Presets > > Change First Match Competition
20651,Derby,Presets,Change First Match Stadium,Lua,Derby > > Presets > > Change First Match Stadium
20648,Derby,Presets,Open in Dissect Data,Lua,Derby > > Presets > > Open in Dissect Data
3000,Nation,,Nation >,"Lua, write",Nation >
23651,Nation,Presets,Maximise Existing Tactical Familiarity,Lua,Nation > > Presets > > Maximise Existing Tactical Familiarity
23652,Nation,Presets,Improve Team Cohesion,Lua,Nation > > Presets > > Improve Team Cohesion
23645,Nation,Presets,Destroy Team,Lua,Nation > > Presets > > Destroy Team
23653,Nation,Presets,Remove All Bans,Lua,Nation > > Presets > > Remove All Bans
23646,Nation,Presets,Remove All Injuries,Lua,Nation > > Presets > > Remove All Injuries
23647,Nation,Presets,Remove All Unhappiness,Lua,Nation > > Presets > > Remove All Unhappiness
22731,Nation,Presets,Add EU Rules,Lua,Nation > > Presets > > Add EU Rules
22730,Nation,Presets,Add Foreign Rules,Lua,Nation > > Presets > > Add Foreign Rules
23665,Nation,Presets,Add to Freezer,"Lua, freeze",Nation > > Presets > > Add to Freezer
13026,Nation,Presets,Open in Dissect Data,Lua,Nation > > Presets > > Open in Dissect Data
13017,Nation,Staff,Medical Staff >,Lua,Nation > > Staff > > Medical Staff >
3007,Nation,Staff,Coaching Staff >,Lua,Nation > > Staff > > Coaching Staff >
3006,Nation,Teams,Teams >,Lua,Nation > > Teams >
24267,Nation,Relationships,Rival Nations >,Lua,Nation > > Relationships > > Rival Nations >
18095,Nation,Relationships,Nations Treated as EU >,Lua,Nation > > Relationships > > Nations Treated as EU >
13044,Nation,Relationships,Nations Treated as Non-Foreign >,Lua,Nation > > Relationships > > Nations Treated as Non-Foreign >
24268,Nation,Relationships,Languages >,Lua,Nation > > Relationships > > Languages >
13043,Nation,Responsibilities,Responsibilities >,Lua,Nation > > Responsibilities >
2000,Person,,Person >,"Lua, write",Person >
17833,Person,Presets,Change Nationality,Lua,Person > > Presets > > General > > Change Nationality
20571,Person,Presets,Add Other Nationality,Lua,Person > > Presets > > General > > Add Other Nationality
23765,Person,Presets,Change Birth Place,Lua,Person > > Presets > > General > > Change Birth Place
12675,Person,Presets,Change Birth Date,Lua,Person > > Presets > > General > > Change Birth Date
17990,Person,Presets,Generate Random Personality,Lua,Person > > Presets > > General > > Generate Random Personality
