id,object,group,description,variable_type,custom_type,address,offsets,bit_start,bit_length,string_length,unicode,path,dropdown
12878,Award,Details,Row ID,4 Bytes,,ptrAward,objo.Rwid,,,,,Award > > Details > > Row ID,*:
12877,Award,Details,Unique ID,4 Bytes,,ptrAward,objo.Duni,,,,,Award > > Details > > Unique ID,*:
17669,Award,Details,Random ID,4 Bytes,,ptrAward,objo.Rdui,,,,,Award > > Details > > Random ID,*:
12876,Award,Details,Full Name,String,,ptrAward,4 -> awro.AWna,,,32,0,Award > > Details > > Full Name,:
19677,Award,Details,Short Name,String,,ptrAward,4 -> awro.AWsn,,,32,0,Award > > Details > > Short Name,:
19702,Award,Details,Continent,String,,ptrAward,4 -> cono.Cnam -> awro.AWci,,,32,0,Award > > Details > > Continent,:
19701,Award,Details,Nation,String,,ptrAward,4 -> nato.Nnam -> awro.AWni,,,32,0,Award > > Details > > Nation,:
19703,Award,Details,Competition,String,,ptrAward,4 -> cmpo.Cnam -> awro.AWmi,,,32,0,Award > > Details > > Competition,:
19675,Award,Details,Reputation,Byte,,ptrAward,awro.AWre,,,,,Award > > Details > > Reputation,
12881,Award,Details,Winner Home Reputation,Byte,,ptrAward,awro.AWwh,,,,,Award > > Details > > Winner Home Reputation,
19704,Award,Details,Winner World Reputation,Byte,,ptrAward,awro.AWwr,,,,,Award > > Details > > Winner World Reputation,
19681,Award,Details,Hex,4 Bytes,,ptrAward,awro.AWfc,,,,,Award > > Details > > Colour Setting > > Foreground Colour > > Hex,
19683,Award,Details,Red,Byte,,ptrAward,awro.AWfc+2,,,,,Award > > Details > > Colour Setting > > Foreground Colour > > Red,
19684,Award,Details,Green,Byte,,ptrAward,awro.AWfc+1,,,,,Award > > Details > > Colour Setting > > Foreground Colour > > Green,
19685,Award,Details,Blue,Byte,,ptrAward,awro.AWfc,,,,,Award > > Details > > Colour Setting > > Foreground Colour > > Blue,
19686,Award,Details,Opacity,Byte,,ptrAward,awro.AWfc+3,,,,,Award > > Details > > Colour Setting > > Foreground Colour > > Opacity,
19688,Award,Details,Hex,4 Bytes,,ptrAward,awro.AWbc,,,,,Award > > Details > > Colour Setting > > Background Colour > > Hex,
19690,Award,Details,Red,Byte,,ptrAward,awro.AWbc+2,,,,,Award > > Details > > Colour Setting > > Background Colour > > Red,
19691,Award,Details,Green,Byte,,ptrAward,awro.AWbc+1,,,,,Award > > Details > > Colour Setting > > Background Colour > > Green,
19692,Award,Details,Blue,Byte,,ptrAward,awro.AWbc,,,,,Award > > Details > > Colour Setting > > Background Colour > > Blue,
19693,Award,Details,Opacity,Byte,,ptrAward,awro.AWbc+3,,,,,Award > > Details > > Colour Setting > > Background Colour > > Opacity,
19695,Award,Details,Hex,4 Bytes,,ptrAward,awro.AWtc,,,,,Award > > Details > > Colour Setting > > Trim Colour > > Hex,
19697,Award,Details,Red,Byte,,ptrAward,awro.AWtc+2,,,,,Award > > Details > > Colour Setting > > Trim Colour > > Red,
19698,Award,Details,Green,Byte,,ptrAward,awro.AWtc+1,,,,,Award > > Details > > Colour Setting > > Trim Colour > > Green,
19699,Award,Details,Blue,Byte,,ptrAward,awro.AWtc,,,,,Award > > Details > > Colour Setting > > Trim Colour > > Blue,
19700,Award,Details,Opacity,Byte,,ptrAward,awro.AWtc+3,,,,,Award > > Details > > Colour Setting > > Trim Colour > > Opacity,
19705,Award,Rules,Award Recipient Type,Byte,,ptrAward,awro.AWrt,,,,,Award > > Rules > > Award Recipient Type,0:Not Set | 1:Player | 2:Non Player | 3:Player or Non Player | 4:Referee | 6:Rookie Player | 7:Squad Of Players | 8:Club or Nation
